broker,source,title,summary,published,url,_sample_tone
Love Energy Savings,Utility Week,Love Energy Savings updates its broker fee disclosure policy,,2026-06-02T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,BBC Business,Love Energy Savings faces Ofgem investigation over mis-selling complaints,,2026-06-20T17:59:39Z,https://example.com/sample-article,negative
Love Energy Savings,FT Energy,Love Energy Savings announces partnership to support small business energy switching,,2026-04-06T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,FT Energy,Love Energy Savings faces Ofgem investigation over mis-selling complaints,,2026-05-31T17:59:39Z,https://example.com/sample-article,negative
Love Energy Savings,FT Energy,Love Energy Savings updates its broker fee disclosure policy,,2026-06-28T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,Current News,Love Energy Savings wins customer service award for third year running,,2026-04-16T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,Utility Week,Love Energy Savings comments on rising wholesale electricity prices,,2026-05-14T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,Current News,Love Energy Savings updates its broker fee disclosure policy,,2026-05-16T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,FT Energy,Love Energy Savings fined following regulatory breach in sales practices,,2026-04-29T17:59:39Z,https://example.com/sample-article,negative
Love Energy Savings,Utility Week,Love Energy Savings announces partnership to support small business energy switching,,2026-06-24T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,BBC Business,Love Energy Savings to attend upcoming UK energy industry conference,,2026-05-15T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,BBC Business,Love Energy Savings wins customer service award for third year running,,2026-04-16T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,BBC Business,Love Energy Savings fined following regulatory breach in sales practices,,2026-06-27T17:59:39Z,https://example.com/sample-article,negative
Love Energy Savings,Current News,Love Energy Savings hit with backlash after sudden contract changes,,2026-05-09T17:59:39Z,https://example.com/sample-article,negative
Love Energy Savings,Utility Week,Love Energy Savings faces Ofgem investigation over mis-selling complaints,,2026-05-11T17:59:39Z,https://example.com/sample-article,negative
Love Energy Savings,Current News,Analysts review Love Energy Savings's position in the business energy market,,2026-05-09T17:59:39Z,https://example.com/sample-article,neutral
Business Energy Comparison,BBC Business,Business Energy Comparison fined following regulatory breach in sales practices,,2026-04-07T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,Current News,"Customers report being overcharged by Business Energy Comparison, watchdog says",,2026-04-14T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,FT Energy,Business Energy Comparison to attend upcoming UK energy industry conference,,2026-04-22T17:59:39Z,https://example.com/sample-article,neutral
Business Energy Comparison,FT Energy,Analysts review Business Energy Comparison's position in the business energy market,,2026-04-27T17:59:39Z,https://example.com/sample-article,neutral
Business Energy Comparison,Current News,Business Energy Comparison announces partnership to support small business energy switching,,2026-04-05T17:59:39Z,https://example.com/sample-article,positive
Business Energy Comparison,BBC Business,Business Energy Comparison praised by Trustpilot reviewers for transparent pricing,,2026-06-20T17:59:39Z,https://example.com/sample-article,positive
Business Energy Comparison,Current News,Business Energy Comparison wins customer service award for third year running,,2026-05-26T17:59:39Z,https://example.com/sample-article,positive
Business Energy Comparison,FT Energy,Business Energy Comparison faces Ofgem investigation over mis-selling complaints,,2026-06-20T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,FT Energy,Business Energy Comparison comments on rising wholesale electricity prices,,2026-05-15T17:59:39Z,https://example.com/sample-article,neutral
Business Energy Comparison,Utility Week,Complaints against Business Energy Comparison rise sharply amid price volatility,,2026-06-11T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,FT Energy,Business Energy Comparison fined following regulatory breach in sales practices,,2026-05-21T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,Current News,Business Energy Comparison praised by Trustpilot reviewers for transparent pricing,,2026-05-16T17:59:39Z,https://example.com/sample-article,positive
Business Energy Comparison,BBC Business,Business Energy Comparison faces Ofgem investigation over mis-selling complaints,,2026-05-20T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,Utility Week,Business Energy Comparison to attend upcoming UK energy industry conference,,2026-05-28T17:59:39Z,https://example.com/sample-article,neutral
Business Energy Comparison,FT Energy,Business Energy Comparison announces partnership to support small business energy switching,,2026-06-01T17:59:39Z,https://example.com/sample-article,positive
Business Energy Comparison,BBC Business,Business Energy Comparison publishes quarterly market update for business customers,,2026-04-25T17:59:39Z,https://example.com/sample-article,neutral
Business Energy Comparison,Current News,Business Energy Comparison praised by Trustpilot reviewers for transparent pricing,,2026-04-25T17:59:39Z,https://example.com/sample-article,positive
Business Energy Comparison,FT Energy,Business Energy Comparison hit with backlash after sudden contract changes,,2026-05-13T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,Utility Week,Complaints against Business Energy Comparison rise sharply amid price volatility,,2026-04-24T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,FT Energy,Business Energy Comparison announces partnership to support small business energy switching,,2026-05-28T17:59:39Z,https://example.com/sample-article,positive
Business Energy Comparison,Utility Week,Business Energy Comparison announces partnership to support small business energy switching,,2026-06-04T17:59:39Z,https://example.com/sample-article,positive
Business Energy Comparison,Utility Week,Business Energy Comparison updates its broker fee disclosure policy,,2026-05-27T17:59:39Z,https://example.com/sample-article,neutral
Business Energy Comparison,Current News,Business Energy Comparison faces Ofgem investigation over mis-selling complaints,,2026-04-27T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,Current News,Business Energy Comparison hit with backlash after sudden contract changes,,2026-07-03T17:59:39Z,https://example.com/sample-article,negative
Business Energy Comparison,Current News,Business Energy Comparison publishes quarterly market update for business customers,,2026-05-14T17:59:39Z,https://example.com/sample-article,neutral
SmartestEnergy,BBC Business,SmartestEnergy fined following regulatory breach in sales practices,,2026-05-03T17:59:39Z,https://example.com/sample-article,negative
SmartestEnergy,FT Energy,SmartestEnergy expands into new regional markets with strong growth,,2026-06-06T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,Utility Week,SmartestEnergy to attend upcoming UK energy industry conference,,2026-04-28T17:59:39Z,https://example.com/sample-article,neutral
SmartestEnergy,Utility Week,SmartestEnergy faces Ofgem investigation over mis-selling complaints,,2026-06-02T17:59:39Z,https://example.com/sample-article,negative
SmartestEnergy,FT Energy,SmartestEnergy named accredited broker under new Ofgem code of practice,,2026-06-19T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,BBC Business,SmartestEnergy praised by Trustpilot reviewers for transparent pricing,,2026-04-22T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,BBC Business,"Customers report being overcharged by SmartestEnergy, watchdog says",,2026-05-11T17:59:39Z,https://example.com/sample-article,negative
SmartestEnergy,BBC Business,SmartestEnergy comments on rising wholesale electricity prices,,2026-04-23T17:59:39Z,https://example.com/sample-article,neutral
SmartestEnergy,Utility Week,Complaints against SmartestEnergy rise sharply amid price volatility,,2026-05-02T17:59:39Z,https://example.com/sample-article,negative
SmartestEnergy,FT Energy,SmartestEnergy expands into new regional markets with strong growth,,2026-04-14T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,BBC Business,SmartestEnergy named accredited broker under new Ofgem code of practice,,2026-04-12T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,FT Energy,SmartestEnergy fined following regulatory breach in sales practices,,2026-05-16T17:59:39Z,https://example.com/sample-article,negative
SmartestEnergy,Utility Week,SmartestEnergy wins customer service award for third year running,,2026-05-28T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,Utility Week,Complaints against SmartestEnergy rise sharply amid price volatility,,2026-04-11T17:59:39Z,https://example.com/sample-article,negative
SmartestEnergy,Current News,SmartestEnergy to attend upcoming UK energy industry conference,,2026-06-13T17:59:39Z,https://example.com/sample-article,neutral
SmartestEnergy,FT Energy,SmartestEnergy to attend upcoming UK energy industry conference,,2026-06-12T17:59:39Z,https://example.com/sample-article,neutral
SmartestEnergy,Utility Week,SmartestEnergy announces partnership to support small business energy switching,,2026-06-27T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,FT Energy,SmartestEnergy wins customer service award for third year running,,2026-05-23T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,FT Energy,Complaints against SmartestEnergy rise sharply amid price volatility,,2026-04-20T17:59:39Z,https://example.com/sample-article,negative
SmartestEnergy,Current News,SmartestEnergy hit with backlash after sudden contract changes,,2026-05-28T17:59:39Z,https://example.com/sample-article,negative
SmartestEnergy,Current News,SmartestEnergy announces partnership to support small business energy switching,,2026-04-16T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,FT Energy,SmartestEnergy announces partnership to support small business energy switching,,2026-05-01T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,Current News,SmartestEnergy updates its broker fee disclosure policy,,2026-06-16T17:59:39Z,https://example.com/sample-article,neutral
SmartestEnergy,Utility Week,SmartestEnergy praised by Trustpilot reviewers for transparent pricing,,2026-05-13T17:59:39Z,https://example.com/sample-article,positive
SmartestEnergy,FT Energy,SmartestEnergy comments on rising wholesale electricity prices,,2026-04-04T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,Current News,"Customers report being overcharged by npower Business Solutions, watchdog says",,2026-06-05T17:59:39Z,https://example.com/sample-article,negative
npower Business Solutions,BBC Business,npower Business Solutions expands into new regional markets with strong growth,,2026-06-19T17:59:39Z,https://example.com/sample-article,positive
npower Business Solutions,Current News,npower Business Solutions publishes quarterly market update for business customers,,2026-04-23T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,Utility Week,npower Business Solutions faces Ofgem investigation over mis-selling complaints,,2026-05-21T17:59:39Z,https://example.com/sample-article,negative
npower Business Solutions,Utility Week,npower Business Solutions faces Ofgem investigation over mis-selling complaints,,2026-04-09T17:59:39Z,https://example.com/sample-article,negative
npower Business Solutions,FT Energy,npower Business Solutions wins customer service award for third year running,,2026-04-15T17:59:39Z,https://example.com/sample-article,positive
npower Business Solutions,Utility Week,Analysts review npower Business Solutions's position in the business energy market,,2026-06-02T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,Utility Week,"Customers report being overcharged by npower Business Solutions, watchdog says",,2026-05-11T17:59:39Z,https://example.com/sample-article,negative
npower Business Solutions,Utility Week,npower Business Solutions announces partnership to support small business energy switching,,2026-04-12T17:59:39Z,https://example.com/sample-article,positive
npower Business Solutions,Utility Week,npower Business Solutions praised by Trustpilot reviewers for transparent pricing,,2026-05-21T17:59:39Z,https://example.com/sample-article,positive
npower Business Solutions,Current News,npower Business Solutions named accredited broker under new Ofgem code of practice,,2026-05-07T17:59:39Z,https://example.com/sample-article,positive
npower Business Solutions,Current News,npower Business Solutions expands into new regional markets with strong growth,,2026-06-20T17:59:39Z,https://example.com/sample-article,positive
npower Business Solutions,FT Energy,npower Business Solutions faces Ofgem investigation over mis-selling complaints,,2026-04-12T17:59:39Z,https://example.com/sample-article,negative
npower Business Solutions,FT Energy,npower Business Solutions to attend upcoming UK energy industry conference,,2026-05-03T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,Utility Week,npower Business Solutions expands into new regional markets with strong growth,,2026-06-29T17:59:39Z,https://example.com/sample-article,positive
npower Business Solutions,BBC Business,"Customers report being overcharged by npower Business Solutions, watchdog says",,2026-04-21T17:59:39Z,https://example.com/sample-article,negative
npower Business Solutions,Utility Week,npower Business Solutions named accredited broker under new Ofgem code of practice,,2026-04-27T17:59:39Z,https://example.com/sample-article,positive
npower Business Solutions,BBC Business,Complaints against npower Business Solutions rise sharply amid price volatility,,2026-05-30T17:59:39Z,https://example.com/sample-article,negative
npower Business Solutions,Current News,npower Business Solutions publishes quarterly market update for business customers,,2026-05-21T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,Current News,npower Business Solutions publishes quarterly market update for business customers,,2026-05-14T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,Utility Week,npower Business Solutions updates its broker fee disclosure policy,,2026-04-22T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,BBC Business,npower Business Solutions updates its broker fee disclosure policy,,2026-05-16T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,BBC Business,"Customers report being overcharged by npower Business Solutions, watchdog says",,2026-06-12T17:59:39Z,https://example.com/sample-article,negative
npower Business Solutions,BBC Business,npower Business Solutions to attend upcoming UK energy industry conference,,2026-06-28T17:59:39Z,https://example.com/sample-article,neutral
npower Business Solutions,Utility Week,Complaints against npower Business Solutions rise sharply amid price volatility,,2026-05-31T17:59:39Z,https://example.com/sample-article,negative
